- - - - - - - - - - - - 6 6 6 6 6 6 6 6 1 1 1 1 3 3 3 3 3 3
- - - - - - - - - - - - 6 6 6 6 6 6 6 6 1 1 1 1 3 3 3 3 3 3
- - - - - - - - - - - - 6 6 6 6 6 6 6 6 1 1 1 1 3 3 3 3 3 3
- - - - - - - - - - - - 6 6 6 6 6 6 6 6 1 1 1 1 3 3 3 3 3 3
9 9 9 9 9 9 9 9 9 9 - - 6 6 6 6 6 6 6 6 1 1 1 1 3 3 3 3 3 3
9 9 9 9 9 9 9 9 9 9 - - 6 6 6 6 6 6 6 6 1 1 1 1 3 3 3 3 3 3
9 9 9 9 9 9 9 9 9 9 - - 6 6 6 6 6 6 6 6 P P P P 3 3 3 3 3 3
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 P P P P 3 3 3 3 3 3
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 P P P P 3 3 3 3 3 3
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 0 0 0 0 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 0 0 0 0 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 0 0 0 0 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 0 0 0 0 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 0 0 0 0 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 - - - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 - - - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 - - - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 - - 2 2 2 2 2 -
9 9 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 - - 2 2 2 2 2 -
4 4 4 4 4 4 4 4 4 4 P P P 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 -
4 4 4 4 4 4 4 4 4 4 P P P 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 -
4 4 4 4 4 4 4 4 4 4 P P P 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 -
4 4 4 4 4 4 4 4 4 4 P P P 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 -
4 4 4 4 4 4 4 4 4 4 - - - 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 -
4 4 4 4 4 4 4 4 4 4 - - - 5 5 5 5 5 5 5 5 5 5 5 - - - - - -
